model	position	layer	train_n	val_n	test_n	val_auroc	val_recall	val_fpr	test_auroc	test_auprc	test_recall	test_fpr	threshold	reasoningshield_test_n	reasoningshield_test_auroc	reasoningshield_test_auprc	reasoningshield_test_recall	reasoningshield_test_fpr
linear	cot_3	14	4710	588	587	0.964899	0.84058	0.0423892	0.966281	0.827778	0.897059	0.0597303	0.85	337	0.890289	0.66752	0.746479	0.165414
linear	cot_3	16	4710	588	587	0.968473	0.855072	0.0423892	0.96903	0.834537	0.911765	0.0558767	0.847148	337	0.887324	0.649121	0.732394	0.154135
linear	cot_3	17	4710	588	587	0.96529	0.84058	0.0462428	0.970305	0.829462	0.911765	0.061657	0.82	337	0.883194	0.648448	0.788732	0.206767
linear	cot_3	20	4710	588	587	0.965513	0.811594	0.0481696	0.97685	0.83772	0.897059	0.0558767	0.82	337	0.901408	0.68517	0.802817	0.161654
linear	cot_3	21	4710	588	587	0.963196	0.797101	0.0462428	0.976397	0.834989	0.867647	0.0558767	0.818554	337	0.898179	0.683378	0.788732	0.150376
linear	cot_3	22	4710	588	587	0.960627	0.811594	0.044316	0.978295	0.841294	0.897059	0.0520231	0.853857	337	0.891507	0.681324	0.830986	0.176692
linear	cot_3	24	4710	588	587	0.960403	0.826087	0.0481696	0.97838	0.842187	0.911765	0.061657	0.78	337	0.887536	0.669143	0.859155	0.225564
linear	cot_3	25	4710	588	587	0.958225	0.811594	0.0462428	0.976567	0.834891	0.911765	0.0500963	0.82	337	0.8851	0.661102	0.859155	0.199248
linear	cot_3	28	4710	588	587	0.951132	0.695652	0.0289017	0.954834	0.729836	0.514706	0.0192678	0.93	337	0.786614	0.502308	0.295775	0.0676692
linear	cot_3	32	4710	588	587	0.952612	0.768116	0.0462428	0.945937	0.697976	0.676471	0.0462428	0.890946	337	0.759663	0.459522	0.478873	0.18797
linear	cot_4	7	4710	588	587	0.962833	0.826087	0.0481696	0.975887	0.828471	0.867647	0.061657	0.768944	337	0.916976	0.695699	0.901408	0.206767
linear	cot_4	8	4710	588	587	0.960962	0.797101	0.044316	0.975717	0.819175	0.867647	0.0558767	0.839487	337	0.90861	0.674737	0.816901	0.157895
linear	cot_4	14	4710	588	587	0.965178	0.811594	0.0462428	0.977474	0.864897	0.926471	0.0712909	0.775172	337	0.923912	0.703056	0.929577	0.210526
linear	cot_4	16	4710	588	587	0.961604	0.797101	0.0346821	0.981922	0.863021	0.897059	0.0404624	0.86	337	0.914646	0.680245	0.774648	0.131579
linear	cot_4	17	4710	588	587	0.958337	0.811594	0.044316	0.981299	0.832884	0.941176	0.0674374	0.806932	337	0.906809	0.670877	0.802817	0.180451
linear	cot_4	20	4710	588	587	0.953562	0.797101	0.0481696	0.98008	0.842165	0.882353	0.0578035	0.83	337	0.913746	0.695144	0.802817	0.176692
linear	cot_4	21	4710	588	587	0.953115	0.797101	0.0481696	0.978834	0.834766	0.897059	0.0597303	0.837273	337	0.909139	0.688659	0.830986	0.184211
linear	cot_4	22	4710	588	587	0.954623	0.782609	0.0481696	0.976822	0.808886	0.867647	0.0558767	0.86	337	0.891136	0.649502	0.802817	0.157895
linear	cot_4	24	4710	588	587	0.952696	0.768116	0.044316	0.978777	0.809459	0.897059	0.0462428	0.88	337	0.885047	0.645842	0.746479	0.146617
linear	cot_4	25	4710	588	587	0.951635	0.782609	0.0481696	0.977304	0.804487	0.882353	0.0500963	0.879031	337	0.878852	0.642207	0.704225	0.161654
linear	cot_4	28	4710	588	587	0.955656	0.753623	0.0366089	0.981469	0.851605	0.897059	0.044316	0.872628	337	0.884306	0.642139	0.71831	0.172932
linear	cot_4	32	4710	588	587	0.952668	0.768116	0.044316	0.977049	0.837058	0.867647	0.0481696	0.84	337	0.877422	0.660092	0.760563	0.203008
linear	cot_5	7	4710	588	587	0.957499	0.84058	0.0481696	0.972572	0.808869	0.852941	0.0578035	0.814286	337	0.89103	0.62227	0.830986	0.236842
linear	cot_5	8	4710	588	587	0.961939	0.884058	0.0481696	0.972572	0.801897	0.838235	0.0655106	0.8	337	0.887959	0.616513	0.859155	0.270677
linear	cot_5	14	4710	588	587	0.966547	0.811594	0.0462428	0.96461	0.839059	0.897059	0.0597303	0.838141	337	0.859473	0.576761	0.816901	0.24812
linear	cot_5	16	4710	588	587	0.96744	0.811594	0.0462428	0.967585	0.842401	0.911765	0.0597303	0.81	337	0.865932	0.608315	0.873239	0.296992
linear	cot_5	17	4710	588	587	0.967552	0.811594	0.0481696	0.972997	0.846258	0.867647	0.0520231	0.84	337	0.864503	0.589237	0.84507	0.270677
linear	cot_5	20	4710	588	587	0.968781	0.782609	0.0481696	0.973167	0.852627	0.867647	0.0500963	0.83529	337	0.855687	0.547355	0.830986	0.244361
linear	cot_5	21	4710	588	587	0.967775	0.753623	0.0462428	0.974697	0.850581	0.823529	0.044316	0.87	337	0.85942	0.579001	0.760563	0.203008
linear	cot_5	22	4710	588	587	0.969646	0.73913	0.044316	0.976369	0.85223	0.808824	0.0404624	0.877613	337	0.861008	0.559798	0.774648	0.165414
linear	cot_5	24	4710	588	587	0.961576	0.782609	0.0481696	0.973337	0.843578	0.867647	0.0520231	0.848493	337	0.844859	0.564893	0.774648	0.266917
linear	cot_5	25	4710	588	587	0.959202	0.797101	0.0462428	0.974073	0.844278	0.882353	0.0539499	0.84906	337	0.837287	0.549976	0.774648	0.281955
linear	cot_5	28	4710	588	587	0.958197	0.826087	0.0462428	0.969398	0.826537	0.823529	0.0558767	0.836122	337	0.845123	0.562892	0.774648	0.296992
linear	cot_5	32	4710	588	587	0.953562	0.753623	0.0481696	0.967358	0.809063	0.794118	0.0462428	0.861025	337	0.789633	0.482056	0.647887	0.274436
linear	cot_6	7	4710	588	587	0.950937	0.811594	0.0481696	0.962088	0.795614	0.764706	0.0500963	0.848402	337	0.812665	0.562628	0.56338	0.150376
linear	cot_6	8	4710	588	587	0.957415	0.782609	0.044316	0.964241	0.805155	0.794118	0.0462428	0.860672	337	0.833157	0.589672	0.577465	0.116541
linear	cot_6	14	4710	588	587	0.954232	0.724638	0.0462428	0.974867	0.843227	0.808824	0.0500963	0.863166	337	0.857037	0.595453	0.549296	0.142857
linear	cot_6	16	4710	588	587	0.956829	0.797101	0.0462428	0.971325	0.818653	0.823529	0.0578035	0.85	337	0.854813	0.592343	0.633803	0.150376
linear	cot_6	17	4710	588	587	0.959873	0.782609	0.0481696	0.967896	0.78841	0.779412	0.0597303	0.85	337	0.830721	0.560874	0.577465	0.161654
linear	cot_6	20	4710	588	587	0.960096	0.768116	0.044316	0.964723	0.784132	0.808824	0.0481696	0.89	337	0.816107	0.566463	0.591549	0.150376
linear	cot_6	21	4710	588	587	0.961185	0.768116	0.0423892	0.962173	0.780531	0.794118	0.0500963	0.89	337	0.808218	0.548774	0.591549	0.154135
linear	cot_6	22	4710	588	587	0.960236	0.73913	0.0462428	0.964185	0.784885	0.764706	0.0385356	0.89	337	0.802129	0.534499	0.577465	0.154135
linear	cot_6	24	4710	588	587	0.953785	0.782609	0.0481696	0.961918	0.762647	0.75	0.0500963	0.88	337	0.781372	0.5203	0.535211	0.146617
linear	cot_6	25	4710	588	587	0.952138	0.782609	0.0404624	0.961606	0.760413	0.735294	0.0500963	0.885763	337	0.770941	0.506485	0.492958	0.131579
linear	cot_6	28	4710	588	587	0.946022	0.724638	0.044316	0.956279	0.75339	0.705882	0.0578035	0.884441	337	0.761834	0.492132	0.577465	0.146617
linear	cot_6	32	4710	588	587	0.945966	0.724638	0.0481696	0.9435	0.738956	0.676471	0.0500963	0.896257	337	0.71831	0.41637	0.549296	0.176692
linear	cot_7	7	4710	588	587	0.947977	0.710145	0.0462428	0.957072	0.743944	0.794118	0.0500963	0.877747	337	0.749762	0.452736	0.535211	0.18797
linear	cot_7	8	4710	588	587	0.942811	0.695652	0.044316	0.960133	0.777512	0.75	0.0558767	0.86	337	0.784179	0.505803	0.56338	0.172932
linear	cot_7	14	4710	588	587	0.940381	0.681159	0.044316	0.955117	0.735317	0.676471	0.061657	0.909661	337	0.792121	0.548644	0.605634	0.12782
linear	cot_7	16	4710	588	587	0.942587	0.753623	0.0481696	0.967528	0.810473	0.764706	0.0578035	0.888734	337	0.813672	0.553809	0.71831	0.18797
linear	cot_7	17	4710	588	587	0.946888	0.695652	0.0404624	0.969341	0.818693	0.75	0.0404624	0.909218	337	0.815737	0.555572	0.619718	0.150376
linear	cot_7	20	4710	588	587	0.946553	0.695652	0.0423892	0.959339	0.760777	0.661765	0.0346821	0.92	337	0.809859	0.515701	0.619718	0.146617
linear	cot_7	21	4710	588	587	0.951579	0.724638	0.044316	0.966876	0.82409	0.794118	0.0404624	0.91	337	0.791592	0.454717	0.633803	0.157895
linear	cot_7	22	4710	588	587	0.948815	0.710145	0.0423892	0.957922	0.801786	0.75	0.0423892	0.899725	337	0.796781	0.457849	0.619718	0.157895
linear	cot_7	24	4710	588	587	0.944095	0.73913	0.0481696	0.950669	0.780442	0.764706	0.0481696	0.890398	337	0.797628	0.467616	0.619718	0.169173
linear	cot_7	25	4710	588	587	0.939404	0.753623	0.0423892	0.947552	0.778148	0.764706	0.0520231	0.896664	337	0.795404	0.475589	0.633803	0.154135
linear	cot_7	28	4710	588	587	0.937645	0.768116	0.0462428	0.927576	0.62739	0.632353	0.0462428	0.91853	337	0.782749	0.525514	0.492958	0.12406
linear	cot_7	32	4710	588	587	0.936193	0.695652	0.0481696	0.93823	0.691729	0.632353	0.0539499	0.891737	337	0.77163	0.482925	0.605634	0.180451
linear	cot_8	7	4710	588	587	0.951188	0.753623	0.0462428	0.956987	0.781541	0.720588	0.0462428	0.889581	337	0.835116	0.619913	0.647887	0.161654
linear	cot_8	8	4710	588	587	0.952556	0.782609	0.044316	0.961521	0.789003	0.735294	0.0500963	0.89	337	0.842423	0.642529	0.690141	0.169173
linear	cot_8	14	4710	588	587	0.958365	0.768116	0.044316	0.96631	0.827948	0.794118	0.044316	0.87	337	0.898073	0.716144	0.802817	0.131579
linear	cot_8	16	4710	588	587	0.959147	0.724638	0.0462428	0.955712	0.804627	0.794118	0.0481696	0.88	337	0.875357	0.666553	0.732394	0.112782
linear	cot_8	17	4710	588	587	0.954567	0.768116	0.0481696	0.962371	0.794834	0.794118	0.0597303	0.85685	337	0.875252	0.655431	0.774648	0.154135
linear	cot_8	20	4710	588	587	0.952054	0.724638	0.0481696	0.959793	0.78105	0.764706	0.0635838	0.868723	337	0.870698	0.642149	0.774648	0.150376
linear	cot_8	21	4710	588	587	0.952389	0.724638	0.0481696	0.957497	0.77195	0.779412	0.0520231	0.880249	337	0.863338	0.633921	0.704225	0.139098
linear	cot_8	22	4710	588	587	0.952249	0.724638	0.0462428	0.959679	0.778056	0.808824	0.044316	0.888995	337	0.855925	0.615572	0.690141	0.12782
linear	cot_8	24	4710	588	587	0.954176	0.710145	0.0462428	0.958064	0.753168	0.75	0.0635838	0.87	337	0.85243	0.636221	0.732394	0.150376
linear	cot_8	25	4710	588	587	0.950434	0.681159	0.0481696	0.953842	0.742341	0.735294	0.0520231	0.88517	337	0.834692	0.623729	0.633803	0.146617
linear	cot_8	28	4710	588	587	0.940074	0.565217	0.0308285	0.951094	0.727341	0.558824	0.0250482	0.925889	337	0.836863	0.623171	0.605634	0.093985
linear	cot_8	32	4710	588	587	0.930412	0.666667	0.0423892	0.934178	0.668561	0.632353	0.0558767	0.89	337	0.796463	0.546479	0.605634	0.131579
linear	cot_9	7	4710	588	587	0.946692	0.753623	0.0462428	0.9384	0.758676	0.75	0.0635838	0.83894	337	0.85619	0.661114	0.71831	0.191729
linear	cot_9	8	4710	588	587	0.953701	0.724638	0.0423892	0.946872	0.7793	0.779412	0.0597303	0.85	337	0.86069	0.645321	0.71831	0.172932
linear	cot_9	14	4710	588	587	0.94848	0.753623	0.0481696	0.959963	0.807149	0.779412	0.0578035	0.84	337	0.894313	0.693832	0.746479	0.172932
linear	cot_9	16	4710	588	587	0.941107	0.695652	0.044316	0.942423	0.752071	0.705882	0.0481696	0.862812	337	0.801228	0.554957	0.661972	0.169173
linear	cot_9	17	4710	588	587	0.937645	0.652174	0.0346821	0.943387	0.719231	0.617647	0.0423892	0.88	337	0.782114	0.514209	0.549296	0.139098
linear	cot_9	20	4710	588	587	0.928039	0.652174	0.044316	0.93687	0.674482	0.617647	0.0500963	0.868897	337	0.778195	0.513196	0.549296	0.12406
linear	cot_9	21	4710	588	587	0.93072	0.695652	0.0462428	0.93925	0.721523	0.647059	0.0462428	0.86	337	0.789527	0.54682	0.549296	0.142857
