model	layer_combine	position	run	val_auroc	val_auprc	val_recall	val_fpr	test_auroc	test_auprc	test_recall	test_fpr
linear	mean	cot_3	linear_mean_cot_3_layers_7_8_14_16_17_20_21_22_24_25_28_32	0.9486191393705845	0.7424083174807007	0.782608695652174	0.04816955684007707	0.9769636178170691	0.8264733990729021	0.8823529411764706	0.05202312138728324
linear	concat	cot_3	linear_concat_cot_3_layers_7_8_14_16_17_20_21_22_24_25_28_32	0.9639775487978554	0.7717196202224608	0.8115942028985508	0.04046242774566474	0.9701348747591523	0.8155962094418442	0.8382352941176471	0.05202312138728324
linear	concat	cot_7	linear_concat_cot_7_layers_7_8_14_16_17_20_21_22_24_25_28_32	0.950462148501857	0.7817855536852325	0.782608695652174	0.04431599229287091	0.9671596962484416	0.8140035195417316	0.8529411764705882	0.05394990366088632
linear	concat	cot_8	linear_concat_cot_8_layers_7_8_14_16_17_20_21_22_24_25_28_32	0.9354109072631314	0.7656824363697199	0.7391304347826086	0.04238921001926782	0.9644111980052137	0.8353808571062479	0.8235294117647058	0.057803468208092484
linear	concat	cot_2	linear_concat_cot_2_layers_7_8_14_16_17_20_21_22_24_25_28_32	0.93764485772528	0.7187358869283582	0.6521739130434783	0.04816955684007707	0.9626260908987874	0.7999728379318972	0.7205882352941176	0.038535645472061654
linear	mean	cot_1	linear_mean_cot_1_layers_7_8_14_16_17_20_21_22_24_25_28_32	0.9359973192594454	0.6738055338270063	0.6086956521739131	0.046242774566473986	0.9604726283577014	0.7816870012595796	0.7205882352941176	0.055876685934489405
linear	concat	cot_1	linear_concat_cot_1_layers_7_8_14_16_17_20_21_22_24_25_28_32	0.9393482449526681	0.7157972616959868	0.5797101449275363	0.04046242774566474	0.9590275416524991	0.7779104817275454	0.7058823529411765	0.04046242774566474
linear	mean	cot_2	linear_mean_cot_2_layers_7_8_14_16_17_20_21_22_24_25_28_32	0.9395157912373293	0.7006760320944284	0.6376811594202898	0.046242774566473986	0.9546639465034569	0.7688332987227345	0.7058823529411765	0.05202312138728324
linear	mean	cot_8	linear_mean_cot_8_layers_7_8_14_16_17_20_21_22_24_25_28_32	0.9443187847309487	0.7265433222518032	0.6666666666666666	0.04816955684007707	0.948090218746458	0.7260027934204695	0.6617647058823529	0.046242774566473986
linear	mean	cot_7	linear_mean_cot_7_layers_7_8_14_16_17_20_21_22_24_25_28_32	0.9388176817179079	0.6858476929165557	0.7246376811594203	0.046242774566473986	0.9344043975971892	0.6320602692527185	0.6176470588235294	0.06165703275529865
