source	k	split	bin_high	bin_low	count	label
harmbench_standard	8	val	0.8000000000000007	0.40000000000000036	18	0
harmbench_standard	8	val	1.2000000000000002	0.8000000000000007	11	0
harmbench_standard	8	val	1.6000000000000005	1.2000000000000002	4	0
harmbench_standard	8	val	2.0	1.6000000000000005	1	0
harmbench_standard	8	val	2.4000000000000004	2.0	0	0
harmbench_standard	8	val	2.8000000000000007	2.4000000000000004	0	0
harmbench_standard	8	val	3.2	2.8000000000000007	0	0
harmbench_standard	8	val	3.6000000000000005	3.2	0	0
harmbench_standard	8	val	4.0	3.6000000000000005	0	0
harmbench_standard	8	val	-3.6	-4.0	0	1
harmbench_standard	8	val	-3.2	-3.6	0	1
harmbench_standard	8	val	-2.8	-3.2	0	1
harmbench_standard	8	val	-2.4	-2.8	0	1
harmbench_standard	8	val	-2.0	-2.4	0	1
harmbench_standard	8	val	-1.5999999999999996	-2.0	2	1
harmbench_standard	8	val	-1.1999999999999997	-1.5999999999999996	2	1
harmbench_standard	8	val	-0.7999999999999998	-1.1999999999999997	4	1
harmbench_standard	8	val	-0.3999999999999999	-0.7999999999999998	14	1
harmbench_standard	8	val	0.0	-0.3999999999999999	9	1
harmbench_standard	8	val	0.40000000000000036	0.0	18	1
harmbench_standard	8	val	0.8000000000000007	0.40000000000000036	38	1
harmbench_standard	8	val	1.2000000000000002	0.8000000000000007	29	1
harmbench_standard	8	val	1.6000000000000005	1.2000000000000002	10	1
harmbench_standard	8	val	2.0	1.6000000000000005	6	1
harmbench_standard	8	val	2.4000000000000004	2.0	0	1
harmbench_standard	8	val	2.8000000000000007	2.4000000000000004	0	1
harmbench_standard	8	val	3.2	2.8000000000000007	0	1
harmbench_standard	8	val	3.6000000000000005	3.2	0	1
harmbench_standard	8	val	4.0	3.6000000000000005	0	1
harmbench_standard	8	test	-3.6	-4.0	0	0
harmbench_standard	8	test	-3.2	-3.6	0	0
harmbench_standard	8	test	-2.8	-3.2	0	0
harmbench_standard	8	test	-2.4	-2.8	0	0
harmbench_standard	8	test	-2.0	-2.4	1	0
harmbench_standard	8	test	-1.5999999999999996	-2.0	33	0
harmbench_standard	8	test	-1.1999999999999997	-1.5999999999999996	30	0
harmbench_standard	8	test	-0.7999999999999998	-1.1999999999999997	8	0
harmbench_standard	8	test	-0.3999999999999999	-0.7999999999999998	7	0
harmbench_standard	8	test	0.0	-0.3999999999999999	8	0
harmbench_standard	8	test	0.40000000000000036	0.0	11	0
harmbench_standard	8	test	0.8000000000000007	0.40000000000000036	25	0
harmbench_standard	8	test	1.2000000000000002	0.8000000000000007	16	0
harmbench_standard	8	test	1.6000000000000005	1.2000000000000002	12	0
harmbench_standard	8	test	2.0	1.6000000000000005	1	0
harmbench_standard	8	test	2.4000000000000004	2.0	0	0
harmbench_standard	8	test	2.8000000000000007	2.4000000000000004	0	0
harmbench_standard	8	test	3.2	2.8000000000000007	0	0
harmbench_standard	8	test	3.6000000000000005	3.2	0	0
harmbench_standard	8	test	4.0	3.6000000000000005	0	0
harmbench_standard	8	test	-3.6	-4.0	0	1
harmbench_standard	8	test	-3.2	-3.6	0	1
harmbench_standard	8	test	-2.8	-3.2	0	1
harmbench_standard	8	test	-2.4	-2.8	0	1
harmbench_standard	8	test	-2.0	-2.4	0	1
