dataset,seed,alpha,reference_label,n,unsafe_valid,ambiguous_partial,safe_refusal,low_quality_garbage,missing,unsafe_valid_rate,unsafe_or_ambiguous_rate,safe_refusal_rate,think_start_rate,think_end_rate,pause3_rate,avg_steered_pause_tokens,refusal_keyword_rate,avg_generated_chars
xstest_safe,all,0.0,all,750,4,0,593,0,0,0.005333333333333333,0.005333333333333333,0.7906666666666666,1.0,0.8133333333333334,0.0,0.0,0.31466666666666665,6884.198666666666
all,260621,0.0,safe,550,48,0,435,0,0,0.08727272727272728,0.08727272727272728,0.7909090909090909,1.0,0.8127272727272727,0.0,0.0,0.24909090909090909,6222.4345454545455
all,260621,0.0,unsafe,500,224,0,147,0,0,0.448,0.448,0.294,1.0,0.94,0.0,0.0,0.28,7563.29
all,260621,0.0,all,1050,272,0,582,0,0,0.259047619047619,0.259047619047619,0.5542857142857143,1.0,0.8733333333333333,0.0,0.0,0.2638095238095238,6860.937142857143
all,260622,0.0,safe,550,45,0,454,0,0,0.08181818181818182,0.08181818181818182,0.8254545454545454,1.0,0.8,0.0,0.0,0.2672727272727273,6154.454545454545
all,260622,0.0,unsafe,500,236,0,147,0,0,0.472,0.472,0.294,1.0,0.916,0.0,0.0,0.232,7479.734
all,260622,0.0,all,1050,281,0,601,0,0,0.26761904761904765,0.26761904761904765,0.5723809523809524,1.0,0.8552380952380952,0.0,0.0,0.25047619047619046,6785.54
all,260623,0.0,safe,550,47,0,443,0,0,0.08545454545454545,0.08545454545454545,0.8054545454545454,1.0,0.8127272727272727,0.0,0.0,0.33090909090909093,6253.634545454545
all,260623,0.0,unsafe,500,215,0,163,0,0,0.43,0.43,0.326,1.0,0.9,0.0,0.0,0.288,7541.04
all,260623,0.0,all,1050,262,0,606,0,0,0.24952380952380954,0.24952380952380954,0.5771428571428572,1.0,0.8542857142857143,0.0,0.0,0.31047619047619046,6866.684761904762
all,all,0.0,safe,1650,140,0,1332,0,0,0.08484848484848485,0.08484848484848485,0.8072727272727273,1.0,0.8084848484848485,0.0,0.0,0.2824242424242424,6210.174545454545
all,all,0.0,unsafe,1500,675,0,457,0,0,0.45,0.45,0.30466666666666664,1.0,0.9186666666666666,0.0,0.0,0.26666666666666666,7528.021333333333
all,all,0.0,all,3150,815,0,1789,0,0,0.25873015873015875,0.25873015873015875,0.567936507936508,1.0,0.8609523809523809,0.0,0.0,0.2749206349206349,6837.720634920635
